name,active,endAt,createdAt,updatedAt
Australia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Austria,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Azerbaiyán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Anguilla,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Argentina,true,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Armenia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bielorrusia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Belice,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bélgica,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bermudas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bulgaria,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Brasil,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Reino Unido,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Hungría,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Vietnam,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Haiti,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guadalupe,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Alemania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
"Países Bajos, Holanda",false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Grecia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Georgia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Dinamarca,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Egipto,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Israel,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
India,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Irán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Irlanda,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
España,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Italia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Kazajstán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Camerún,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Canadá,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Chipre,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Kirguistán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
China,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Costa Rica,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Kuwait,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Letonia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Libia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Lituania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Luxemburgo,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
México,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Moldavia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Mónaco,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Nueva Zelanda,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Noruega,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Polonia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Portugal,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Reunión,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Rusia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
El Salvador,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Eslovaquia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Eslovenia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Surinam,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Estados Unidos,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tadjikistan,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Turkmenistan,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Islas Turcas y Caicos,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Turquía,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Uganda,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Uzbekistán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Ucrania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Finlandia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Francia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
República Checa,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Suiza,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Suecia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Estonia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Corea del Sur,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Japón,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Croacia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Rumanía,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Hong Kong,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Indonesia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Jordania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Malasia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Singapur,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Taiwan,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bosnia y Herzegovina,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bahamas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Chile,true,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Colombia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Islandia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Corea del Norte,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Macedonia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Malta,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Pakistán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Papúa-Nueva Guinea,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Perú,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Filipinas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Arabia Saudita,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tailandia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Emiratos árabes Unidos,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Groenlandia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Venezuela,true,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Zimbabwe,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Kenia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Algeria,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Líbano,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Botsuana,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tanzania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Namibia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Ecuador,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Marruecos,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Ghana,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Siria,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Nepal,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Mauritania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Seychelles,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Paraguay,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Uruguay,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Congo (Brazzaville),false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Cuba,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Albania,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Nigeria,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Zambia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Mozambique,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Angola,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sri Lanka,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Etiopía,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Túnez,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bolivia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Panamá,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Malawi,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Liechtenstein,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bahrein,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Barbados,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Chad,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
"Man, Isla de",false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Jamaica,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Malí,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Madagascar,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Senegal,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Togo,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Honduras,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
República Dominicana,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Mongolia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Irak,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sudáfrica,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Aruba,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Gibraltar,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Afganistán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Andorra,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Antigua y Barbuda,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bangladesh,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Benín,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Bután,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Islas Virgenes Británicas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Brunéi,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Burkina Faso,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Burundi,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Camboya,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Cabo Verde,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Comores,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Congo (Kinshasa),false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
"Cook, Islas",false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Costa de Marfil,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
"Djibouti, Yibuti",false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Timor Oriental,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guinea Ecuatorial,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Eritrea,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
"Feroe, Islas",false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Fiyi,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Polinesia Francesa,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Gabón,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Gambia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Granada,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guatemala,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guernsey,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guinea,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guinea-Bissau,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Guyana,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Jersey,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Kiribati,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Laos,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Lesotho,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Liberia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Maldivas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Martinica,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Mauricio,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Myanmar,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Nauru,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Antillas Holandesas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Nueva Caledonia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Nicaragua,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Níger,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Norfolk Island,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Omán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Isla Pitcairn,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Qatar,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Ruanda,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Santa Elena,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
San Cristobal y Nevis,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Santa Lucía,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
San Pedro y Miquelón,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
San Vincente y Granadinas,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Samoa,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
San Marino,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
San Tomé y Príncipe,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Serbia y Montenegro,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sierra Leona,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Islas Salomón,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Somalia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sudán,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Swazilandia,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tokelau,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tonga,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Trinidad y Tobago,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Tuvalu,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Vanuatu,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Wallis y Futuna,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Sáhara Occidental,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Yemen,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
Puerto Rico,false,NULL,2021-10-06 22:07:33,2021-10-06 22:07:33
